"presvote16post_2016","faminc_2016","pid3_2016","employ_2016","child18_2016","marstat_2016","educ_2016"
"Donald Trump","$60,000 - $69,999","Republican","Unemployed","No","Married","2-year"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","Yes","Married","Some college"
"Donald Trump","$20,000 - $29,999","Republican","Unemployed","No","Married","4-year"
"Donald Trump","Prefer not to say","Republican","Part-time","No","Single","High school graduate"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","Yes","Married","4-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Divorced","4-year"
"Donald Trump","$20,000 - $29,999","Independent","Retired","No","Widowed","High school graduate"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","No","Married","Post-grad"
"Hillary Clinton","Prefer not to say","Democrat","Retired","No","Single","4-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Married","2-year"
"Hillary Clinton","$60,000 - $69,999","Democrat","Retired","No","Domestic partnership","2-year"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","Yes","Married","2-year"
"Donald Trump","Prefer not to say","Republican","Homemaker","No","Married","High school graduate"
"Donald Trump","$70,000 - $79,999","Independent","Full-time","Yes","Married","Some college"
"Hillary Clinton","$50,000 - $59,999","Democrat","Retired","No","Divorced","4-year"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","Prefer not to say","Democrat","Other","No","Married","Post-grad"
"Hillary Clinton","Prefer not to say","Independent","Retired","No","Married","Post-grad"
"Hillary Clinton","$150,000 - $199,999","Democrat","Full-time","Yes","Married","4-year"
"Hillary Clinton","Prefer not to say","Independent","Full-time","No","Single","Post-grad"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","Yes","Married","Post-grad"
"Donald Trump","$250,000 - $349,999","Republican","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","$150,000 - $199,999","Democrat","Retired","No","Divorced","Post-grad"
"Hillary Clinton","$150,000 or more","Democrat","Retired","No","Married","4-year"
"Hillary Clinton","$10,000 - $19,999","Independent","Retired","No","Widowed","High school graduate"
"Hillary Clinton","$120,000 - $149,999","Independent","Retired","No","Married","Post-grad"
"Hillary Clinton","Prefer not to say","Independent","Unemployed","No","Single","2-year"
"Hillary Clinton","$120,000 - $149,999","Independent","Retired","No","Married","2-year"
"Hillary Clinton","$120,000 - $149,999","Independent","Part-time","No","Married","4-year"
"Hillary Clinton","$250,000 - $349,999","Democrat","Full-time","No","Domestic partnership","4-year"
"Hillary Clinton","$50,000 - $59,999","Independent","Homemaker","Yes","Married","2-year"
"Donald Trump","$40,000 - $49,999","Independent","Permanently disabled","No","Married","2-year"
"Donald Trump","$70,000 - $79,999","Independent","Retired","No","Married","Some college"
"Hillary Clinton","$150,000 or more","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$150,000 or more","Democrat","Retired","No","Married","Post-grad"
"Hillary Clinton","$50,000 - $59,999","Independent","Retired","No","Married","4-year"
"Hillary Clinton","$150,000 - $199,999","Independent","Retired","No","Married","Post-grad"
"Donald Trump","$80,000 - $99,999","Independent","Retired","No","Married","Post-grad"
"Hillary Clinton","$200,000 - $249,999","Democrat","Full-time","No","Married","4-year"
"Donald Trump","$40,000 - $49,999","Republican","Retired","No","Married","Some college"
"Hillary Clinton","$60,000 - $69,999","Democrat","Retired","No","Married","Some college"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$150,000 - $199,999","Independent","Full-time","Yes","Divorced","Post-grad"
"Donald Trump","$70,000 - $79,999","Republican","Full-time","No","Single","Post-grad"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","No","Married","High school graduate"
"Hillary Clinton","$70,000 - $79,999","Other","Full-time","No","Single","Post-grad"
"Hillary Clinton","$60,000 - $69,999","Democrat","Full-time","No","Married","High school graduate"
"Other","Prefer not to say","Republican","Homemaker","Yes","Married","4-year"
"Hillary Clinton","$150,000 - $199,999","Democrat","Full-time","No","Married","4-year"
"Donald Trump","$70,000 - $79,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","$20,000 - $29,999","Independent","Retired","No","Divorced","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Retired","No","Widowed","Post-grad"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","No","Married","4-year"
"Donald Trump","$120,000 - $149,999","Republican","Retired","No","Married","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Independent","Part-time","No","Married","Some college"
"Hillary Clinton","$150,000 - $199,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$40,000 - $49,999","Democrat","Retired","No","Married","Post-grad"
"Jill Stein","$70,000 - $79,999","Democrat","Full-time","No","Divorced","4-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Single","Post-grad"
"Hillary Clinton","$350,000 - $499,999","Democrat","Full-time","Yes","Single","4-year"
"Hillary Clinton","Prefer not to say","Independent","Full-time","No","Single","Some college"
"Donald Trump","$30,000 - $39,999","Independent","Retired","No","Widowed","High school graduate"
"Evan McMullin","$40,000 - $49,999","Independent","Full-time","No","Single","Post-grad"
"Donald Trump","$50,000 - $59,999","Independent","Retired","No","Married","4-year"
"Hillary Clinton","$150,000 - $199,999","Democrat","Retired","No","Married","Post-grad"
"","$30,000 - $39,999","Democrat","Full-time","No","Single","No HS"
"Hillary Clinton","Prefer not to say","Independent","Permanently disabled","No","Divorced","Some college"
"Donald Trump","$120,000 - $149,999","Republican","Part-time","No","Married","4-year"
"Hillary Clinton","$200,000 - $249,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$50,000 - $59,999","Independent","Full-time","Yes","Married","4-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Retired","No","Married","Some college"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Divorced","Some college"
"Donald Trump","Prefer not to say","Republican","Full-time","Yes","Divorced","2-year"
"Donald Trump","$80,000 - $99,999","Independent","Full-time","Yes","Domestic partnership","4-year"
"Donald Trump","Prefer not to say","Independent","Other","No","Divorced","High school graduate"
"Gary Johnson","$120,000 - $149,999","Independent","Full-time","No","Married","Some college"
"Other","$30,000 - $39,999","Independent","Part-time","Yes","Married","Some college"
"Hillary Clinton","$150,000 or more","Independent","Full-time","No","Married","Post-grad"
"Gary Johnson","$40,000 - $49,999","Other","Full-time","Yes","Married","Some college"
"Hillary Clinton","$150,000 - $199,999","Independent","Full-time","Yes","Divorced","Some college"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Married","Some college"
"Hillary Clinton","$150,000 or more","Democrat","Full-time","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Full-time","No","Divorced","4-year"
"Donald Trump","Prefer not to say","Republican","Retired","No","Married","Some college"
"Hillary Clinton","$50,000 - $59,999","Independent","Retired","No","Married","Some college"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Single","Post-grad"
"Gary Johnson","$120,000 - $149,999","Other","Full-time","No","Married","4-year"
"Hillary Clinton","$60,000 - $69,999","Democrat","Full-time","No","Single","4-year"
"Hillary Clinton","$70,000 - $79,999","Independent","Full-time","No","Domestic partnership","2-year"
"Donald Trump","Prefer not to say","Republican","Retired","No","Married","4-year"
"Hillary Clinton","Prefer not to say","Democrat","Retired","No","Divorced","Some college"
"Hillary Clinton","$60,000 - $69,999","Democrat","Permanently disabled","No","Divorced","Post-grad"
"Hillary Clinton","$80,000 - $99,999","Independent","Unemployed","No","Married","Post-grad"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","Yes","Married","2-year"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","Yes","Married","Some college"
"","Prefer not to say","Democrat","Part-time","No","Single","Post-grad"
"","Prefer not to say","Republican","Full-time","No","Single","4-year"
"Hillary Clinton","Prefer not to say","Independent","Part-time","No","Married","2-year"
"Donald Trump","$250,000 - $349,999","Republican","Full-time","No","Married","Post-grad"
"Donald Trump","$120,000 - $149,999","Independent","Full-time","No","Married","Some college"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","$100,000 - $119,999","Democrat","Homemaker","No","Married","Some college"
"Donald Trump","$250,000 - $349,999","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","$500,000 or more","Democrat","Full-time","Yes","Married","Post-grad"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","Post-grad"
"Hillary Clinton","$50,000 - $59,999","Independent","Full-time","No","Single","4-year"
"Hillary Clinton","$200,000 - $249,999","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$100,000 - $119,999","Independent","Full-time","No","Single","4-year"
"Donald Trump","$250,000 - $349,999","Independent","Retired","No","Married","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","No","Married","4-year"
"Donald Trump","$350,000 - $499,999","Republican","Full-time","No","Married","Post-grad"
"Hillary Clinton","$50,000 - $59,999","Democrat","Unemployed","No","Married","High school graduate"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","Yes","Married","High school graduate"
"Gary Johnson","$40,000 - $49,999","Independent","Full-time","No","Single","2-year"
"Hillary Clinton","Prefer not to say","Independent","Unemployed","No","Married","4-year"
"Donald Trump","$100,000 - $119,999","Independent","Part-time","No","Married","Post-grad"
"Hillary Clinton","$10,000 - $19,999","Independent","Retired","No","Divorced","Some college"
"Hillary Clinton","$70,000 - $79,999","Independent","Part-time","No","Single","Post-grad"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","Yes","Married","4-year"
"Hillary Clinton","Prefer not to say","Democrat","Retired","No","Married","High school graduate"
"Donald Trump","Prefer not to say","Democrat","Retired","No","Married","2-year"
"Hillary Clinton","$30,000 - $39,999","Independent","Retired","No","Single","Some college"
"Gary Johnson","$20,000 - $29,999","Other","Full-time","Yes","Married","Some college"
"Donald Trump","$30,000 - $39,999","Independent","Full-time","No","Married","Some college"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Other","No","Married","4-year"
"Gary Johnson","$80,000 - $99,999","Independent","Full-time","No","Married","High school graduate"
"Donald Trump","$10,000 - $19,999","Republican","Part-time","No","Single","Some college"
"Donald Trump","$100,000 - $119,999","Other","Full-time","No","Married","2-year"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Independent","Permanently disabled","No","Married","2-year"
"Hillary Clinton","$40,000 - $49,999","Democrat","Full-time","Yes","Divorced","2-year"
"Hillary Clinton","$150,000 - $199,999","Democrat","Full-time","Yes","Married","4-year"
"Hillary Clinton","$200,000 - $249,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","No","Single","4-year"
"Hillary Clinton","$30,000 - $39,999","Independent","Retired","No","Married","High school graduate"
"Donald Trump","$70,000 - $79,999","Republican","Full-time","No","Married","4-year"
"Other","$100,000 - $119,999","Independent","Full-time","Yes","Married","4-year"
"Donald Trump","$50,000 - $59,999","Republican","Part-time","No","Single","Some college"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","No","Single","2-year"
"Hillary Clinton","$200,000 - $249,999","Democrat","Full-time","No","Married","Post-grad"
"Donald Trump","$70,000 - $79,999","Republican","Full-time","Yes","Married","2-year"
"Gary Johnson","Prefer not to say","Democrat","Full-time","Yes","Married","4-year"
"Donald Trump","$150,000 - $199,999","Republican","Retired","No","Married","Some college"
"","Prefer not to say","Other","Retired","No","Single","Post-grad"
"Hillary Clinton","$60,000 - $69,999","Democrat","Full-time","No","Single","2-year"
"Donald Trump","$40,000 - $49,999","Republican","Other","No","Divorced","Some college"
"Jill Stein","$70,000 - $79,999","Independent","Part-time","No","Single","4-year"
"Gary Johnson","$200,000 - $249,999","Democrat","Full-time","No","Single","4-year"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Single","4-year"
"Hillary Clinton","Prefer not to say","Independent","Homemaker","Yes","Married","Post-grad"
"Hillary Clinton","$10,000 - $19,999","Independent","Permanently disabled","No","Single","High school graduate"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","No","Married","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Democrat","Homemaker","Yes","Married","4-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Divorced","Post-grad"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Married","Post-grad"
"Donald Trump","$80,000 - $99,999","Independent","Full-time","No","Single","Post-grad"
"Hillary Clinton","$250,000 - $349,999","Democrat","Full-time","Yes","Domestic partnership","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Single","4-year"
"Hillary Clinton","$10,000 - $19,999","Democrat","Permanently disabled","No","Single","2-year"
"Hillary Clinton","$120,000 - $149,999","Democrat","Part-time","No","Separated","2-year"
"Donald Trump","$80,000 - $99,999","Independent","Full-time","Yes","Married","Some college"
"Jill Stein","$60,000 - $69,999","Democrat","Full-time","No","Divorced","4-year"
"Hillary Clinton","$150,000 - $199,999","Independent","Full-time","Yes","Married","4-year"
"Donald Trump","$150,000 - $199,999","Republican","Part-time","No","Married","2-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Single","Post-grad"
"Hillary Clinton","Prefer not to say","Independent","Part-time","Yes","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Homemaker","Yes","Married","4-year"
"Hillary Clinton","Prefer not to say","Democrat","Retired","No","Widowed","Some college"
"Hillary Clinton","Prefer not to say","Independent","Part-time","Yes","Married","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","Yes","Domestic partnership","Post-grad"
"Hillary Clinton","$250,000 - $349,999","Democrat","Retired","No","Married","Post-grad"
"Donald Trump","$30,000 - $39,999","Republican","Retired","No","Married","High school graduate"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Widowed","High school graduate"
"Hillary Clinton","$150,000 - $199,999","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Independent","Full-time","No","Married","High school graduate"
"Other","$120,000 - $149,999","Republican","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Democrat","Part-time","No","Single","Post-grad"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Married","High school graduate"
"Hillary Clinton","$50,000 - $59,999","Democrat","Full-time","No","Divorced","Some college"
"Other","$70,000 - $79,999","Independent","Full-time","No","Married","4-year"
"Donald Trump","$70,000 - $79,999","Independent","Retired","No","Widowed","Post-grad"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","No","Married","Some college"
"Donald Trump","$500,000 or more","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","Post-grad"
"Donald Trump","$70,000 - $79,999","Independent","Retired","No","Married","4-year"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","Yes","Married","4-year"
"Donald Trump","$100,000 - $119,999","Independent","Full-time","Yes","Married","4-year"
"Donald Trump","$50,000 - $59,999","Other","Unemployed","No","Married","Some college"
"Hillary Clinton","$150,000 - $199,999","Independent","Full-time","Yes","Married","Post-grad"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","4-year"
"Donald Trump","$50,000 - $59,999","Republican","Retired","No","Widowed","Some college"
"Donald Trump","$40,000 - $49,999","Republican","Full-time","No","Single","4-year"
"Donald Trump","$30,000 - $39,999","Republican","Full-time","No","Divorced","High school graduate"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","No","Married","Some college"
"Donald Trump","Prefer not to say","Republican","Full-time","No","Single","4-year"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","Yes","Married","4-year"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","No","Married","Some college"
"Donald Trump","Prefer not to say","Republican","Full-time","No","Married","Post-grad"
"Hillary Clinton","$80,000 - $99,999","Democrat","Retired","No","Married","4-year"
"Donald Trump","$100,000 - $119,999","Republican","Retired","No","Married","High school graduate"
"Hillary Clinton","$20,000 - $29,999","Independent","Retired","No","Divorced","Some college"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","$40,000 - $49,999","Independent","Retired","No","Married","Some college"
"Donald Trump","$200,000 - $249,999","Republican","Full-time","No","Divorced","4-year"
"Donald Trump","Prefer not to say","Independent","Unemployed","No","Married","2-year"
"Donald Trump","$120,000 - $149,999","Independent","Retired","No","Married","Post-grad"
"Donald Trump","$40,000 - $49,999","Independent","Part-time","No","Widowed","Some college"
"Donald Trump","$40,000 - $49,999","Independent","Full-time","No","Married","High school graduate"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","Yes","Married","2-year"
"Donald Trump","Prefer not to say","Republican","Homemaker","No","Married","Some college"
"Donald Trump","$120,000 - $149,999","Independent","Full-time","No","Divorced","Post-grad"
"Hillary Clinton","$100,000 - $119,999","Democrat","Homemaker","No","Married","4-year"
"Gary Johnson","Prefer not to say","Independent","Full-time","Yes","Married","4-year"
"Donald Trump","$80,000 - $99,999","Republican","Part-time","No","Married","Some college"
"Hillary Clinton","$50,000 - $59,999","Independent","Full-time","No","Married","4-year"
"Donald Trump","$30,000 - $39,999","Independent","Retired","No","Married","High school graduate"
"Donald Trump","Prefer not to say","Independent","Retired","No","Married","Post-grad"
"Donald Trump","Less than $10,000","Independent","Part-time","No","Single","4-year"
"Donald Trump","$120,000 - $149,999","Independent","Full-time","No","Domestic partnership","Some college"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Homemaker","No","Married","Some college"
"Donald Trump","$20,000 - $29,999","Republican","Retired","No","Divorced","2-year"
"Hillary Clinton","$20,000 - $29,999","Independent","Full-time","No","Single","Some college"
"Donald Trump","$60,000 - $69,999","Republican","Retired","No","Married","High school graduate"
"Donald Trump","$80,000 - $99,999","Republican","Retired","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Independent","Full-time","No","Single","Some college"
"Donald Trump","$200,000 - $249,999","Independent","Full-time","Yes","Married","Post-grad"
"Donald Trump","$250,000 - $349,999","Republican","Full-time","No","Married","High school graduate"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","No","Divorced","High school graduate"
"Hillary Clinton","$30,000 - $39,999","Democrat","Retired","No","Divorced","Some college"
"Donald Trump","$100,000 - $119,999","Independent","Full-time","No","Divorced","4-year"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Single","4-year"
"Donald Trump","$20,000 - $29,999","Independent","Part-time","No","Single","Some college"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","No","Married","Some college"
"Donald Trump","Prefer not to say","Independent","Homemaker","No","Married","4-year"
"Donald Trump","$120,000 - $149,999","Republican","Part-time","Yes","Married","Some college"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","Post-grad"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","No","Married","4-year"
"Hillary Clinton","$150,000 - $199,999","Independent","Full-time","Yes","Married","Post-grad"
"Donald Trump","$50,000 - $59,999","Republican","Full-time","No","Married","Some college"
"Gary Johnson","$60,000 - $69,999","Independent","Full-time","No","Widowed","4-year"
"Hillary Clinton","$150,000 - $199,999","Democrat","Permanently disabled","Yes","Married","Post-grad"
"Donald Trump","$50,000 - $59,999","Republican","Retired","No","Married","High school graduate"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","No","Married","4-year"
"Donald Trump","$50,000 - $59,999","Republican","Full-time","No","Single","4-year"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","No","Divorced","4-year"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","No","Married","4-year"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","No","Married","High school graduate"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","Prefer not to say","Independent","Retired","No","Married","High school graduate"
"Donald Trump","$350,000 - $499,999","Republican","Retired","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Full-time","No","Married","Some college"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","No","Married","Post-grad"
"Donald Trump","$40,000 - $49,999","Independent","Full-time","No","Divorced","4-year"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","Yes","Married","2-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Retired","No","Married","4-year"
"Hillary Clinton","$30,000 - $39,999","Democrat","Homemaker","No","Married","High school graduate"
"Donald Trump","$150,000 - $199,999","Republican","Part-time","No","Married","Post-grad"
"Donald Trump","$60,000 - $69,999","Other","Full-time","Yes","Married","Some college"
"Donald Trump","$80,000 - $99,999","Independent","Full-time","Yes","Married","2-year"
"Donald Trump","Prefer not to say","Republican","Full-time","Yes","Married","Some college"
"Donald Trump","Prefer not to say","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","Prefer not to say","Independent","Full-time","Yes","Married","4-year"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","No","Married","Post-grad"
"Gary Johnson","$150,000 - $199,999","Independent","Retired","No","Married","High school graduate"
"Donald Trump","$50,000 - $59,999","Republican","Retired","No","Widowed","High school graduate"
"Donald Trump","Prefer not to say","Independent","Full-time","No","Divorced","4-year"
"Donald Trump","Prefer not to say","Republican","Full-time","Yes","Single","Post-grad"
"Donald Trump","$200,000 - $249,999","Republican","Full-time","No","Married","Some college"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Married","Some college"
"Gary Johnson","$200,000 - $249,999","Independent","Full-time","No","Single","4-year"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","Yes","Married","2-year"
"Donald Trump","$40,000 - $49,999","Republican","Full-time","No","Single","High school graduate"
"Hillary Clinton","Prefer not to say","Independent","Full-time","No","Married","4-year"
"Donald Trump","$50,000 - $59,999","Independent","Retired","No","Married","High school graduate"
"Donald Trump","$30,000 - $39,999","Republican","Retired","No","Married","Some college"
"Hillary Clinton","$40,000 - $49,999","Democrat","Part-time","No","Married","Some college"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","Post-grad"
"Hillary Clinton","$60,000 - $69,999","Democrat","Other","Yes","Married","Post-grad"
"Donald Trump","$70,000 - $79,999","Independent","Part-time","No","Divorced","Post-grad"
"Donald Trump","Prefer not to say","Republican","Retired","No","Widowed","4-year"
"Donald Trump","$60,000 - $69,999","Other","Part-time","No","Married","High school graduate"
"Gary Johnson","$30,000 - $39,999","Other","Full-time","No","Widowed","High school graduate"
"Donald Trump","$50,000 - $59,999","Independent","Part-time","No","Married","4-year"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","Yes","Married","Post-grad"
"Jill Stein","$250,000 - $349,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","No","Single","Post-grad"
"Donald Trump","$350,000 - $499,999","Republican","Part-time","No","Married","Post-grad"
"Donald Trump","$120,000 - $149,999","Republican","Unemployed","No","Married","4-year"
"Donald Trump","$20,000 - $29,999","Republican","Full-time","No","Married","High school graduate"
"Donald Trump","$60,000 - $69,999","Republican","Other","No","Widowed","Post-grad"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","Yes","Married","4-year"
"Hillary Clinton","$20,000 - $29,999","Democrat","Full-time","No","Single","4-year"
"Hillary Clinton","$20,000 - $29,999","Independent","Permanently disabled","No","Divorced","4-year"
"Hillary Clinton","Less than $10,000","Democrat","Unemployed","No","Single","2-year"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","Yes","Married","Post-grad"
"Donald Trump","$30,000 - $39,999","Democrat","Retired","No","Married","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Single","4-year"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","No","Married","4-year"
"Donald Trump","$20,000 - $29,999","Independent","Full-time","No","Single","2-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Part-time","No","Married","Some college"
